Company Names;Cars Names;Engines;HorsePower;Fuel Types;Seats;Colour
FERRARI;SF90 STRADALE;V8;963 hp;plug in hyrbrid;2;White
ROLLS ROYCE;PHANTOM;V12;563 hp;Petrol;5;Green
Ford;KA+;1.2L Petrol;70-85 hp;Petrol;5;White
MERCEDES; GT 63 S;V8;630 hp;Petrol;4;Blue
AUDI;AUDI R8 Gt;V10;602 hp;Petrol;2;White
BMW;Mclaren 720s;V8;710 hp;Petrol;2;Gray
ASTON MARTIN;VANTAGE F1;V8;656 hp;Petrol;2;Silver
BENTLEY;Continental GT Azure;V8;550 hp;Petrol;4;White
LAMBORGHINI;VENENO ROADSTER;V12;750 hp;Petrol;2;White
FERRARI;F8 TRIBUTO;V8;710 hp;Petrol;2;Gray
FERRARI;812 GTS;V12;789 hp;Petrol;2;White
FERRARI;PORTOFINO;V8;592 hp;Petrol;2+2;White
FERRARI;ROMA;V8;612 hp;Petrol;2+2;Black
FERRARI;MONZA SP2;V12;789 hp;Petrol;2;Gray
FERRARI;F8 SPIDER;V8;710 hp;Petrol;2;Red
FERRARI;PORTOFINO M;V8;612 hp;Petrol;2+2;Silver
FERRARI;ROMA SPIDER;V8;612 hp;Petrol;2+2;Blue
TOYOTA;GR SUPRA;I4;382 hp;Petrol;2;Silver
TOYOTA;TOYOTA 86;BOXER-4;205 hp;Petrol;2+2;Black
TOYOTA;TOYOTA  GR86;BOXER-4;228 hp;Petrol;4;Blue
TOYOTA;TOYOTA LAND CRUISER;V8;381 hp;Diesel;7;Black
TOYOTA;TOYOTA SEQUOIA;V8;381 hp;Petrol;7;Silver
NISSAN;GT-R;V6;600 hp;Petrol;4;White
NISSAN;370Z;V6;332 hp;Petrol;2;Blue
NISSAN;Z PROTO;V6;400 hp;Petrol;2;Black
NISSAN;ALTIMA;I4;188 hp;Petrol;5;Gray
NISSAN;MAXIMA;V6;300 hp;Petrol;5;White
NISSAN;SENTRA;I4;149 hp;Petrol;5;Silver
NISSAN;ROGUE;I4;201 hp;Petrol;5;Black
NISSAN;PATHFINDER;V6;284 hp;Petrol;7;Black
NISSAN;FRONTIER;V6;310 hp;Petrol;5;White
NISSAN;TITAN;V8;400 hp;Petrol;5;Red
ASTON MARTIN;VALKYRIE;V12;1160 hp;Hybrid;2;Gray
ASTON MARTIN;VALHALLA;V8;1000 hp;Hybrid;2;Silver
ASTON MARTIN;DBS SUPERLEGGERA;V12;715 hp;Petrol;2;Gray
ASTON MARTIN;DB11;V12;600 hp;Petrol;4;Gray
ASTON MARTIN;VANTAGE ;V8;503 hp;Petrol;2;Gray
ASTON MARTIN;DBX;V8;542 hp;Petrol;5;Gray
ASTON MARTIN;RAPIDE AMR;V12;580 hp;Petrol;4;Gray
ASTON MARTIN;VANQUISH;V12;580 hp;Petrol;2;Silver
ASTON MARTIN;LAGONDA TARAF;V12;540 hp;Petrol;4;Brown
ASTON MARTIN;VICTOR;V12;836 hp;Petrol;2;Green
LAMBORGHINI;SIAN;V12;819 hp;Hybrid;2;Red
LAMBORGHINI;AVENTADOR SVJ;V12;759 hp;Petrol;2;Gray
LAMBORGHINI;HURACAN PERFORMANTE;V10;640 hp;Petrol;2;Red
LAMBORGHINI;HURACAN EVO;V10;640 hp;Petrol;2;White
LAMBORGHINI;AVENTADOR SV;V12;740 hp;Petrol;2;White
LAMBORGHINI;URUS ;V8;641 hp;Petrol;5;Silver
LAMBORGHINI;HURACAN SPYDER;V10;610 hp;Petrol;2;Black
LAMBORGHINI;AVENTADOR ROADSTER;V12;700 hp;Petrol;2;Blue
