id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
1,McDonald's Barbaricina,Parcheggio San Giuliano Terme,Supermercato Coop San Giusto,4.73,Facolta di Ingegneria Polo A,2.57,Ristorante La Greppia,2.87,Ristorante Galileo,2.67,,,9.59
2,Esselunga Cisanello,Parcheggio Migliarino,Stazione Leopolda,2.78,,,,,,,,,14.88
3,McDonald's Pisa Aurelia,Parcheggio Porto di Marina,MD Discount Riglione,6.08,Centro Commerciale Pisanova,4.36,Conad La Vettola,7.88,Universita di Pisa,6.87,Torre,1.5,15.05
4,OBI Pisa,Parcheggio Porto di Marina,Polo Fibonacci,4.2,Ipercoop Pisa,2.58,Hotel Galilei Pisa,4.03,,,,,13.46
5,Hotel San Ranieri,Via Montanelli 66,Stazione San Rossore,3.99,Piscina Comunale Camalich,4.72,,,,,,,5.83
6,Piscina Comunale Camalich,Lidl Pisa,Hotel Galilei Pisa,1.31,Pizzeria Colignola,5.97,Supermercato Coop Ghezzano,6.14,,,,,6.95
7,Ristorante Tuscany 2,Via San Ranieri 9,OBI Pisa,4.92,,,,,,,,,5.48
8,Conad Pian di Marco,Esselunga Cisanello,Via Montanelli 66,3.35,OBI Pisa,3.61,Eurospin Ospedaletto,3.11,Ristorante La Greppia,4.88,Parcheggio di Cisanello,2.8,0.54
9,Ipercoop Pisa,Stazione San Rossore,Ristorante Il Mio Capriccio,0.78,Centro Commerciale Darsena (Tirrenia),21.45,McDonald's Barbaricina,17.81,Facolta di Ingegneria Polo A,5.73,Hotel Continental Tirrenia,18.82,16.91
10,Pizzeria Pisanova,Hotel Continental Tirrenia,,,,,,,,,,,18.38
11,Polo Fibonacci,Via Aretino Spinello 11,McDonald's Barbaricina,5.96,Pizzeria Pisanova,7.1,Ristorante Tuscany 2,0.86,MD Discount Riglione,4.06,Conad La Vettola,11.66,6.95
12,Parcheggio San Giuliano Terme,Via Cisanello 170,Centro Commerciale Pisanova,8.48,Parcheggio Migliarino,13.66,Ristorante Galileo,15.47,Hotel San Ranieri,1.05,Universita di Pisa,1.72,1.79
13,Universita di Pisa,Via Angelo Battelli 5,Stazione Pisa Centrale,2.16,Via San Ranieri 9,2.62,Pizzeria Pisanova,1.17,,,,,1.88
14,MediaWorld Pisa,Parcheggio Migliarino,,,,,,,,,,,15.67
15,Conad Pian di Marco,Decathlon Pisa,Supermercato Coop Ghezzano,8.07,McDonald's Pisa Aurelia,9,,,,,,,2.9
16,Conad Metato,Via Aretino Spinello 11,,,,,,,,,,,9
17,MediaWorld Pisa,Parcheggio San Giuliano Terme,MD Discount Riglione,3.56,,,,,,,,,13.16
18,Eurospin Ospedaletto,Ristorante Galileo,McDonald's Pisa Aurelia,3.99,Via del Borghetto 102,3.79,Stazione San Rossore,2.83,Stazione Pisa Centrale,1.03,,,2.47
19,Pizzeria Pisanova,Via Aretino Spinello 11,Facolta di Ingegneria Polo A,1.78,Farmacia Cisanello,1.99,McDonald's Pisa Aurelia,5.06,Conad Pian di Marco,0.27,MediaWorld Pisa,3.65,2.2
20,Hotel Galilei Pisa,Ristorante Pizzeria Il Pellicano,Ristorante Il Lago (Nodica),11.52,Torre,5.5,Parcheggio di Cisanello,3.34,,,,,2.68
21,Ristorante Galileo,Ipercoop Pisa,Via Gabriele Vettori 18,1.88,Torre,1.32,Facolta di Ingegneria Polo A,1.35,,,,,2.58
22,Ristorante Galileo,Ristorante Il Lago (Nodica),,,,,,,,,,,7.55
23,Parco San Rossore,Hotel San Ranieri,Parcheggio San Giuliano Terme,9.9,Conad La Vettola,14.24,Hotel Continental Tirrenia,12.68,Esselunga Cisanello,21.11,Carrefour Express Pisanova,1.2,1.5
24,Via Cisanello 170,Via Montanelli 66,,,,,,,,,,,1.59
25,Hotel San Ranieri,MediaWorld Pisa,Parcheggio Migliarino,14.2,,,,,,,,,15.29
26,Via Montanelli 66,Facolta di Ingegneria Polo A,Ristorante Il Rustichello - San Piero,6.04,Farmacia Cisanello,8.93,,,,,,,2.12
27,Carrefour Express Pisanova,Hotel San Ranieri,Conad La Vettola,7.1,Ristorante La Greppia,6.64,,,,,,,3.23
28,Centro Commerciale Darsena (Tirrenia),Stazione San Rossore,Pizzeria Pisanova,19.3,Ristorante Tuscany 2,0.86,Via Angelo Battelli 5,2.67,Pizzeria Colignola,3.71,,,4.76
29,Carrefour Express Pisanova,Stazione Pisa Centrale,Torre,2.87,Eurospin Ospedaletto,7.54,Ipercoop Pisa,6.85,McDonald's Barbaricina,7.37,Stazione San Rossore,3.96,1.16
30,Centro Commerciale Darsena (Tirrenia),Carrefour Express Pisanova,,,,,,,,,,,21.38
31,Parcheggio Via Paparelli,Ristorante Tuscany 2,Via Cisanello 170,2.86,Parcheggio San Giuliano Terme,7.87,Via Montanelli 66,9.23,Parcheggio Migliarino,12.86,Parco San Rossore,14.76,4.39
32,Stazione Leopolda,Eurospin Ospedaletto,Stazione San Rossore,1.11,Centro Commerciale Darsena (Tirrenia),20,,,,,,,14.01
33,Facolta di Ingegneria Polo A,Via San Ranieri 9,Ristorante Galileo,2.07,Centro Commerciale Pisanova,0.38,Polo Fibonacci,1.83,Parcheggio San Giuliano Terme,8.23,,,7.24
34,Hotel Galilei Pisa,OBI Pisa,Hotel San Ranieri,6.22,Parcheggio San Giuliano Terme,7.98,Universita di Pisa,8.02,,,,,4.63
35,MD Discount Riglione,Parcheggio Porto di Marina,,,,,,,,,,,16.39
36,Stazione Leopolda,Via Angelo Battelli 5,Esselunga Cisanello,2.69,Eurospin Ospedaletto,7.46,Pizzeria Colignola,7.95,,,,,3.87
37,Polo Fibonacci,Parco San Rossore,MediaWorld Pisa,2.32,Conad Metato,9.68,McDonald's Barbaricina,12,McDonald's Pisa Aurelia,5.02,OBI Pisa,0.82,1.79
38,Parcheggio di Cisanello,Parcheggio Via Paparelli,Stazione Leopolda,2.67,Lidl Pisa,0.82,,,,,,,3.73
39,OBI Pisa,Ristorante Il Lago (Nodica),Euronics Pisa Cisanello,4.23,Hotel Galilei Pisa,4.1,Esselunga Cisanello,5.86,,,,,6.64
40,Stazione Pisa Centrale,Facolta di Ingegneria Polo A,Polo Fibonacci,2.32,Parcheggio di Cisanello,1.84,Decathlon Pisa,1.79,,,,,2.31
41,Conad La Vettola,Carrefour Express Pisanova,Ristorante Tuscany 2,8.36,,,,,,,,,1.12
42,Stazione San Rossore,Ristorante Tuscany 2,,,,,,,,,,,3.64
43,Polo Fibonacci,Hotel Galilei Pisa,Parcheggio Via Paparelli,1.81,,,,,,,,,7.63
44,Via San Ranieri 9,Parco San Rossore,MD Discount Riglione,5.13,Centro Commerciale Pisanova,4.19,McDonald's Barbaricina,7.31,McDonald's Pisa Aurelia,5.56,Parcheggio Via Paparelli,5.52,5.09
45,Universita di Pisa,Polo Fibonacci,Stazione Pisa Centrale,2.32,McDonald's Pisa Aurelia,1.56,,,,,,,4.2
46,Parcheggio Via Paparelli,Torre,,,,,,,,,,,2.23
47,Universita di Pisa,OBI Pisa,Conad Metato,7.31,Parco San Rossore,9.72,Parcheggio di Cisanello,4.09,,,,,5.4
48,Lidl Pisa,Esselunga Cisanello,Eurospin Ospedaletto,5.64,Ristorante Pizzeria Il Pellicano,4.94,Parcheggio Migliarino,15.78,Conad La Vettola,12.35,McDonald's Pisa Aurelia,4.94,4.09
49,Eurospin Ospedaletto,Hotel Galilei Pisa,Decathlon Pisa,5.66,,,,,,,,,3.9
50,Via Aretino Spinello 11,Via San Ranieri 9,Ristorante Tuscany 2,2.91,,,,,,,,,1.11
51,Decathlon Pisa,Ristorante Da Stefano (Tirrenia),McDonald's Pisa Aurelia,2.84,,,,,,,,,15.87
52,Farmacia Cisanello,Via San Ranieri 9,Parcheggio di Cisanello,0.34,Centro Commerciale Darsena (Tirrenia),23.92,Conad Metato,29.26,Ristorante Il Rustichello - San Piero,13.02,,,7.92
53,Decathlon Pisa,Via del Borghetto 102,Hotel Galilei Pisa,4.25,,,,,,,,,5.25
