ride_id,driver_id,route_id,start_point,end_point,departure_time,price_total,available_seats,car_plate,status
79085914-58d6-4c47-858c-a9d9d2fa86a3,1,route_1049,Via Cisanello 170,MD Discount Riglione,2025-10-17T00:02:22.178986,7.16,4,IY368GR,published
50c711c1-9741-4bae-b22a-60460f0d1a06,1,route_426,Stazione Leopolda,Universita di Pisa,2026-01-15T08:02:22.180797,22.12,2,IY368GR,published
5c2b0650-d65e-4feb-8d84-6aae2e01e6d1,1,route_1205,Via del Borghetto 102,Eurospin Ospedaletto,2026-02-14T13:02:22.182542,16.19,4,KZ007EP,published
6bc486a9-359f-42b9-8444-cd2206b88a96,1,route_3,Torre,Via Angelo Battelli 5,2025-08-02T08:02:22.184248,19.3,2,DI910UE,published
68073e9d-dd5c-4d45-b39f-4b9cde4219b8,1,route_636,McDonald's Pisa Aurelia,Torre,2025-08-24T07:02:22.185989,21.92,1,VV172UO,published
b2b3c0d6-d8f1-414f-8b27-905fef46cc35,1,route_1171,Via del Borghetto 102,Via Gabriele Vettori 18,2025-09-12T11:02:22.187757,6.66,4,QE291KA,published
85606c9d-cb4d-4f4c-9a59-2714b5b107c5,1,route_1111,Farmacia Cisanello,Pizzeria Colignola,2025-09-19T14:02:22.189440,18.74,4,RX865WJ,published
e24d26aa-babe-4654-bfe3-e8ab9cfed0c7,1,route_246,Via Angelo Battelli 5,Piscina Comunale Camalich,2025-08-15T14:02:22.191138,11.99,4,EN058OJ,published
b09de001-9a06-47e3-9956-22272e2aa181,1,route_1532,Via San Ranieri 9,Parcheggio Migliarino,2025-09-16T08:02:22.192833,8.44,4,QA373VU,published
1141c288-816c-4c89-a96c-368e3f00d2e2,1,route_603,Lidl Pisa,Ristorante Il Mio Capriccio,2025-10-13T05:02:22.194519,10.63,2,YP369EF,published
87ac85cd-5594-443e-aca2-36a6fe2eda3b,1,route_1383,Ristorante La Greppia,Via Gabriele Vettori 18,2025-09-30T21:02:22.196189,11.76,1,WZ820OG,published
691a1929-56ff-48be-899b-8e3df9a00e22,1,route_425,Stazione Leopolda,Stazione Pisa Centrale,2025-10-24T15:02:22.197876,13.71,4,KK075PT,published
14585d94-0e2a-419b-98bc-3f23b79783b9,1,route_1923,Conad Pian di Marco,MediaWorld Pisa,2025-10-22T23:02:22.199563,12.67,3,XE753KO,published
c270e490-054b-4f8b-b786-3607cefc2337,1,route_665,McDonald's Pisa Aurelia,Via Montanelli 66,2025-11-18T04:02:22.201251,21.46,1,RO428RT,published
724cfe1d-a303-45a3-a649-3c89aa4220c8,1,route_2074,Ristorante Il Rustichello - San Piero,Polo Fibonacci,2026-01-17T19:02:22.202970,23.42,4,AC194LJ,published
194d7ff7-c6f6-4df5-a30c-2ae2fbf96d4e,1,route_1535,Via San Ranieri 9,Pizzeria Colignola,2025-12-02T23:02:22.204652,19.06,1,PG721PS,published
d09536f3-47b6-42f9-9f68-216ee73ace61,1,route_1563,Supermercato Coop San Giusto,Ristorante La Greppia,2025-08-13T11:02:22.206326,10.17,3,IQ039MH,published
32a2f0e2-af75-4fcb-8e94-bc01204fc61c,1,route_907,Ristorante Galileo,Facolta di Ingegneria Polo A,2026-02-10T18:02:22.208052,24.19,4,MX388BO,published
a7af17f7-2cc0-4a5f-a3ea-0c5dded6a2c8,1,route_1381,Ristorante La Greppia,Via Aretino Spinello 11,2025-09-10T00:02:22.209761,15.64,3,GB537YS,published
d03192e6-639b-4632-98e6-ebe432b4c73e,1,route_390,Polo Fibonacci,Farmacia Cisanello,2025-12-13T03:02:22.212135,8.07,2,LG847OS,published
1b9e8139-e225-4cc2-a433-44d07f50b570,1,route_2104,Ristorante Il Rustichello - San Piero,Hotel Galilei Pisa,2025-10-15T05:02:22.214157,18.39,4,OV215IL,published
d09d61e2-4dab-41ce-861b-c01b375499c0,1,route_514,Stazione San Rossore,Pizzeria Pisanova,2026-02-20T00:02:22.215874,18.11,4,LS833KD,published
b774d3c2-81bf-45cc-8e24-d55278f13720,1,route_1381,Ristorante La Greppia,Via Aretino Spinello 11,2026-01-22T10:02:22.217618,23.99,2,IQ622YZ,published
33d09ccc-4fa5-4fea-9716-8ca24a1c9ca4,1,route_693,Parcheggio Via Paparelli,Via Angelo Battelli 5,2025-08-29T12:02:22.219301,5.69,3,NZ012FF,published
cdb16e4b-bb76-4720-8c93-19e48806b67d,1,route_304,Via Gabriele Vettori 18,Eurospin Ospedaletto,2025-10-05T14:02:22.220967,6.83,2,JZ552ID,published
83bfd02c-5892-4f3f-bbcd-7e59751be9a3,1,route_1867,Piscina Comunale Camalich,McDonald's Pisa Aurelia,2025-10-29T17:02:22.222652,7.51,4,OQ110WY,published
08bf0d4e-ca5f-4692-a123-89e204e02ddc,1,route_1626,Via Montanelli 66,Hotel Galilei Pisa,2025-11-06T10:02:22.224364,18.87,1,OZ558GS,published
976b8f04-24ee-4e61-87cb-bdf461be3920,1,route_486,Stazione San Rossore,Parco San Rossore,2025-10-15T07:02:22.226039,7.37,1,NU291RV,published
cbfaa8b0-8393-436d-88dc-f43e306d6ce7,1,route_330,Facolta di Ingegneria Polo A,Parcheggio Via Paparelli,2025-08-22T15:02:22.227699,22.27,3,UZ953DC,published
89da3bf1-1f27-4534-8168-08aa634616c3,1,route_1625,Via Montanelli 66,Conad Pian di Marco,2025-10-10T08:02:22.229506,15.74,2,RO754VU,published
ba25a14b-881c-48d4-9a2a-6497fae62b14,1,route_2100,Ristorante Il Rustichello - San Piero,Hotel San Ranieri,2025-11-02T12:02:22.231239,11.32,2,YP369EF,published
8997278b-b666-4103-9a5a-fe3ae9132900,1,route_845,MediaWorld Pisa,Ristorante Il Lago (Nodica),2025-08-12T01:02:22.232947,15.83,1,GK929XO,published
4c2f8c9a-2fc3-40ea-8211-0f73bab9bfe3,1,route_1893,Piscina Comunale Camalich,Ristorante Il Rustichello - San Piero,2025-12-07T00:02:22.234680,23.96,4,TN277LF,published
66f10d9e-34d4-48ce-8732-38a531e57232,1,route_844,MediaWorld Pisa,Conad Metato,2026-02-20T21:02:22.236395,24.88,1,CD046GV,published
4abbb5ad-7180-4ebc-8f4f-0a85f164c566,1,route_1293,Carrefour Express Pisanova,Ristorante Il Mio Capriccio,2026-02-06T15:02:22.238080,17.89,1,VJ711UM,published
7b1c041a-a21d-4c27-8c62-f12a598d1561,1,route_2046,Pizzeria Pisanova,Euronics Pisa Cisanello,2026-02-07T20:02:22.239772,6.79,3,AG116WW,published
a9f80400-8100-4e7c-827b-171d0503ca49,1,route_1203,Via del Borghetto 102,Pizzeria Pisanova,2026-02-10T07:02:22.241459,23.72,3,QN144JZ,published
a6fba6f6-a64a-4112-91f0-d45f26479731,1,route_1355,OBI Pisa,Ristorante Tuscany 2,2025-08-06T04:02:22.243147,19.76,4,AE013TE,published
3c571db7-77e7-4cab-a51b-8d9fee54ed01,1,route_31,Torre,Euronics Pisa Cisanello,2025-08-11T07:02:22.244758,15.07,1,KF428BW,published
af4f7908-fd7b-4949-af3f-d801cb1801bf,1,route_515,Stazione San Rossore,Ristorante Il Rustichello - San Piero,2025-08-05T13:02:22.246436,8.39,2,BF029YJ,published
6ad405f4-574a-4b15-a1c4-f3f408a75c05,1,route_1774,Hotel San Ranieri,OBI Pisa,2025-09-22T12:02:22.248118,8.56,2,IU020MQ,published
472596f7-55c0-4e1b-b141-c2db957a4c37,1,route_1683,Ristorante Tuscany 2,McDonald's Barbaricina,2026-01-24T16:02:22.249802,6.96,1,ZC201MO,published
26563816-81f2-4ea9-87bf-16320aff9cf0,1,route_424,Stazione Leopolda,Torre,2025-10-22T07:02:22.251455,10.79,2,BG706NO,published
7a02c04f-d7f0-43c9-a785-0d409ce8d1ca,1,route_696,Parcheggio Via Paparelli,Polo Fibonacci,2026-02-14T13:02:22.253111,6.55,4,DN833XZ,published
d80d4acd-d7f6-472e-8d7d-08103339a933,1,route_2100,Ristorante Il Rustichello - San Piero,Hotel San Ranieri,2025-08-10T03:02:22.254835,19.84,4,BK591QA,published
6e8fcfd4-8429-4ccd-98a5-fb9da4a5b341,1,route_1653,Ristorante Tuscany 2,Parco San Rossore,2025-11-05T05:02:22.256508,23.81,4,HJ935ET,published
42b981c2-cdb2-4c1f-895f-cca7da6b37b3,1,route_486,Stazione San Rossore,Parco San Rossore,2025-11-13T23:02:22.258164,18.16,4,QD663QO,published
2c014483-b497-42bb-ba9f-4855cdffeab8,1,route_1982,Hotel Galilei Pisa,Ristorante Il Mio Capriccio,2025-12-23T16:02:22.259868,8.27,2,HP529BB,published
967037bd-9f1b-4fd8-a684-b5bb7677f385,1,route_243,Via Angelo Battelli 5,Euronics Pisa Cisanello,2026-01-11T10:02:22.261528,12.05,3,MV564BZ,published
d182cd90-ae85-4026-b1ee-03ff414fbc09,1,route_756,Decathlon Pisa,MediaWorld Pisa,2025-11-25T12:02:22.263199,16.21,4,HY785KX,published
357eef89-ae13-4224-98a4-7a2fb7743b24,1,route_1414,Ristorante La Greppia,Hotel Galilei Pisa,2026-01-05T20:02:22.264869,18.65,3,CU033AY,published
75b0cae5-f29d-4bea-bd1c-0041549d3249,1,route_540,Parco San Rossore,Lidl Pisa,2025-08-16T15:02:22.266519,21.81,2,QG534PB,published
