driver_id,car_plate,brand,model,color
1,BC172OC,AUDI,A4,Blue
2,RK680XU,Mazda,AZ-Offroad,Silver
3,AT323NS,MERCEDES,BENZ CLS 450,Black
4,PS192TX,GMC,Hummer EV Omega Edition,Brown
5,MM686EK,Tata Motors,Tiago EV,Blue
6,JT041GY,HYUNDAI,Palisade,Blue
7,SO899QJ,TOYOTA,TUNDRA HYBRID,Blue
8,UA186JQ,Volkswagen,Golf Alltrack,Black
9,BD050AD,FERRARI,PORTOFINO,White
10,YL166MA,Bugatti,Chiron Super Sport,Blue
11,AL412HE,Acura,TLX A-Spec Sedan,Black
12,LK437AM,Nissan,Gloria Gran Turismo,Silver
13,AS084KM,Tata Motors,Tigor EV,Brown
14,FJ222JY,AUDI,S3 SEDAN,Silver
15,UQ602LI,Mazda,Millenia S,Black
16,PB691PZ,Jeep,Wrangler 4xe,Black
17,DT228RM,Tata Motors,Tigor,Green
18,NO676JY,ROLLS ROYCE,WRAITH EAGLE VIII,White
19,KT702KJ,TOYOTA,INNOVA HYCROSS,Black
20,SJ563AB,HYUNDAI,SANTA FE,Gray
21,AD951MK,Chevrolet,Tahoe RST,Black
22,AD685OC,TOYOTA,FORTUNER GR SPORT,Blue
23,EZ356CC,Nissan,NX Coupe,Red
24,TH862SK,ROLLS ROYCE,PHANTOM,Green
25,OZ558GS,Acura,MDX Elite,Black
26,HO314DM,Nissan,Xterra,Black
27,QR674YJ,HYUNDAI,IONIQ 6,Gray
28,YR892VN,Porsche,911 Turbo,Red
29,CO142JJ,Chevrolet,Silverado 3500HD High Country,Gray
30,IL118GO,TOYOTA,HIGHLANDER HYBRID,Gray
31,SZ111GR,Jeep,Wrangler,Silver
32,PU742HY,Porsche,Panamera 4S ,Brown
33,EA719BH,TOYOTA,PROACE VERSO ELECTRIC,White
34,HJ495WB,Mazda,Mazda3 Hatchback,Silver
35,NZ744WQ,BMW,116D EFFICIENTDYNAMICS,Black
36,GL776ST,Nissan,Titan XD,Silver
37,QG534PB,Nissan,X-Trail Tekna,Brown
38,FS763UI,Ford,Mustang Mach-E,Gray
39,NM763UG,Kia,Forte LXS,Red
40,UW406BY,Ford,KA+,Gray
41,XE753KO,Kia,Niro Touring,Red
42,UP840YW,BMW,Mclaren 720s,Gray
43,SG974MA,Jaguar Land Rover,Jaguar F-Type 75th Anniversary Edition,Red
44,PK343CQ,ASTON MARTIN,VANQUISH,Silver
45,CA096MW,Peugeot,5008 Allure Premium,Black
46,CJ577OQ,Volkswagen,Passat Variant,White
47,NP021YP,Chevrolet,Spark,Gray
48,WB418ER,Volkswagen,Golf R Cabriolet,Silver
49,VV172UO,Cadillac,Lyriq EV,Silver
50,AT980MJ,Cadillac,XT4,Silver
51,SC264AP,Peugeot,5008 GT,Black
52,FJ484HV,Mitsubishi,Lancer GLX,White
53,XD493OI,Nissan,NV350 Caravan,Black
54,DE789LG,Mazda,CX-7,Red
55,AJ174ZR,Nissan,Gloria,Gray
56,GC355KP,ASTON MARTIN,VALKYRIE,Gray
57,TW650FP,Acura,RDX Turbo SH-AWD,Red
58,RO754VU,Nissan,Patrol Legend Edition,Silver
59,FC802GT,Mazda,Autozam AZ-1,Gray
60,VS023ZR,Peugeot,Expert L2H1,Red
61,AD742LL,HONDA,CIVIC TYPE R,Blue
62,RD690DM,Mitsubishi,Town Box,Black
63,JX987AE,Mazda,RX-3,Beige
64,QD663QO,Volkswagen,Volkswagen XL1,Gray
65,XM304VU,Mazda,RX-5,White
66,OM728HL,Volkswagen,Scirocco,Brown
67,XJ789YS,ASTON MARTIN,LAGONDA TARAF,Brown
68,MP953HC,HYUNDAI,Venue,Black
69,KR341KV,Mitsubishi,Eclipse Cross PHEV,Red
70,JL222GJ,Jaguar Land Rover,Jaguar I-PACE,Black
71,HJ935ET,Ford,Expedition,White
72,XE919CA,Mazda,1200,Black
73,XA833CD,ROLLS ROYCE,CULLINAN FUX ORANGE,Black
74,WI782CX,ROLLS ROYCE,CULLINAN BLACK BADGE SUV,Gray
75,KX924JA,Kia,Telluride EX,White
76,NZ224CY,Tesla,Roadster 2,Gray
77,MC767CH,Peugeot,508,Brown
78,ST176JA,GMC,Canyon,Black
79,GK929XO,Ford,Bronco Raptor,Black
80,WR460MZ,Tata Motors,Nexon EV Max,White
81,BS845XN,Porsche,Panamera,White
82,VJ711UM,Ford,Ranger Raptor,Gray
83,ZG438BE,LAMBORGHINI,AVENTADOR S,Gray
84,TB534SH,Mitsubishi,eK X,White
85,LS833KD,Jaguar Land Rover,Jaguar XE SE,Black
86,TO929VN,BMW,M4 GTS,Gray
87,LR457DK,Mitsubishi,Fuso Canter Eco Hybrid,Gray
88,HS740FT,Acura,TLX PMC Edition,Red
89,GV038MA,Kia,Soul Turbo,Gray
90,JP153CJ,Jaguar Land Rover,Jaguar F-Type Coupe R,Gray
91,XN122IY,Peugeot,308 GTI,Black
92,QZ084OE,Mazda,T2000,Silver
93,JG509KN,Porsche,Taycan GTS,Silver
94,BP471NV,Volkswagen,Golf GTI,Black
95,XR340HW,Kia,EV6 First Edition,Gray
96,MX370YA,TOYOTA,GR COROLLA,Black
97,AB808JU,BMW,M550i XDRIVE,Black
98,WI992XA,Porsche,Macan Base,Red
99,SJ171WX,Porsche,Macan T,Black
100,YG422KW,GMC,Canyon AT4X Edition 1,White
101,JG008SG,HONDA,CR-V,Black
102,PY878LF,Peugeot,508 GT,Black
103,PO483HS,Mazda,Spiano,Gray
104,CK000CD,Peugeot,508 Allure,White
105,JI198NW,TOYOTA,BZ4X,White
106,XI771MC,Acura,RDX Turbo AWD,Gray
107,UV248MO,Nissan,Titan Warrior,Silver
108,PP365KK,Nissan,Skyline NISMO,Gray
109,EM225XO,TOYOTA,TOYOTA SEQUOIA,Silver
110,BW033YX,KIA,SPORTAGE PHEV,White
111,CB578LX,AUDI,R8 V10 PLUS,Silver
112,ED438FK,Nissan,Patrol Black Edition,Blue
113,XC024UI,Mitsubishi,Pajero Final Edition,Silver
114,TL580BW,Nissan,Evalia,Black
115,UH579KB,Toyota,4Runner (6th Gen),Silver
116,WT961AL,BMW,X3 M COMPETITION,White
117,ZR952NP,NISSAN,SENTRA,Silver
118,KK342RE,Volkswagen,Jetta SportWagen,Green
119,QO212RX,Porsche,Macan S,Black
120,EB298HY,Volkswagen,Beetle,Gray
121,JE049QQ,Mazda,Carol,Silver
122,PS750EG,NISSAN,PATHFINDER,Black
123,VG039ST,Mitsubishi,Triton GLX-R,Black
124,PP279GY,Mazda,Capella Cargo,Gray
125,ZK302QW,Jaguar Land Rover,Jaguar E-PACE S,White
126,EZ968CU,Peugeot,3008 PSE,Blue
127,FJ447HM,Nissan,Laurel,White
128,UM273RA,Peugeot,e-208,Blue
129,IU020MQ,Jaguar Land Rover,Jaguar XJ Supercharged,Gray
130,AW334LP,GMC,Yukon,Silver
131,LA849IO,Kia,Telluride Nightfall Edition,Black
132,TI126GC,GMC,Sierra 2500HD Denali Black Edition,Silver
133,NK530WI,Volkswagen,Crafter,White
134,BE169TS,MERCEDES,BENZ GLC 350 ,Red
135,GD822NJ,Mitsubishi,Pajero,Red
136,NT657LL,Mazda,MX-5 Superlight Concept,White
137,NC908EX,Porsche,Panamera 4 E-Hybrid,Red
138,SF867UU,Kia,Carnival SX Prestige,Black
