id,start,end,route_id,lat,lon,idx
2941,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.7186,10.40806,0
2942,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.71855,10.40739,1
2943,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.71935,10.40741,2
2944,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.71973,10.40736,3
2945,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.71999,10.40735,4
2946,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72213,10.40733,5
2947,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72272,10.40686,6
2948,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72307,10.40728,7
2949,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.7232,10.40743,8
2950,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72345,10.40777,9
2951,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72353,10.40787,10
2952,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72356,10.40789,11
2953,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72363,10.40807,12
2954,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72364,10.4081,13
2955,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72367,10.40814,14
2956,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72372,10.40815,15
2957,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72375,10.40813,16
2958,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72378,10.40807,17
2959,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72438,10.4084,18
2960,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72441,10.40848,19
2961,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72446,10.40882,20
2962,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72444,10.40889,21
2963,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72443,10.40894,22
2964,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72444,10.409,23
2965,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72445,10.40904,24
2966,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72447,10.40908,25
2967,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.7245,10.40912,26
2968,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72453,10.40914,27
2969,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.7246,10.40914,28
2970,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72464,10.40913,29
2971,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72467,10.4091,30
2972,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72471,10.40903,31
2973,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72472,10.40896,32
2974,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72471,10.40886,33
2975,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72467,10.40879,34
2976,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72462,10.40875,35
2977,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72455,10.40875,36
2978,Universita di Pisa,Ristorante Da Stefano (Tirrenia),route_150,43.72447,10.40862,37
