id,start,end,route_id,lat,lon,idx
47467,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6866,10.38313,0
47468,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69027,10.38517,1
47469,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69038,10.38522,2
47470,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69054,10.38527,3
47471,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6907,10.38533,4
47472,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6908,10.38539,5
47473,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69084,10.38542,6
47474,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6909,10.38552,7
47475,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69092,10.38556,8
47476,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69096,10.38559,9
47477,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69099,10.3856,10
47478,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6911,10.38559,11
47479,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69118,10.3856,12
47480,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69122,10.38561,13
47481,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69134,10.38566,14
47482,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69145,10.38577,15
47483,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69153,10.38584,16
47484,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69179,10.38598,17
47485,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69351,10.38675,18
47486,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69557,10.38764,19
47487,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69573,10.38775,20
47488,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69582,10.38784,21
47489,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69587,10.38794,22
47490,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6959,10.38802,23
47491,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69594,10.38808,24
47492,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69602,10.38814,25
47493,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69611,10.38815,26
47494,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69617,10.38813,27
47495,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69622,10.38808,28
47496,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69632,10.38803,29
47497,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69638,10.38803,30
47498,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69653,10.38806,31
47499,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69779,10.38864,32
47500,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69794,10.38869,33
47501,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6985,10.38892,34
47502,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69871,10.38897,35
47503,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69895,10.38902,36
47504,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6992,10.38905,37
47505,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69932,10.38913,38
47506,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69937,10.38917,39
47507,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6994,10.38925,40
47508,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69944,10.3893,41
47509,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6995,10.3893,42
47510,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69955,10.38928,43
47511,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69959,10.38922,44
47512,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.6996,10.38916,45
47513,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69977,10.38903,46
47514,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.69995,10.38902,47
47515,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.70017,10.38897,48
47516,Piscina Comunale Camalich,Via Gabriele Vettori 18,route_1860,43.70059,10.38883,49
